position,positionStringShort,name,positionRow,isCaptain,rating,fantasyScore,minutesPlayed,isGoalkeeper,goal,assist,subbedOutTime,yellowCard,redCard,total_shots,accurate_passes,chances_created,expected_goals(xG),expected_goals_on_target(xGOT),expected_assists(xA),xG+xA,shot_accuracy,blocked_shots,touches,touches_in_opposition_box,passes_into_final_third,accurate_long_balls,dispossessed,xG_Non_penalty,tackles_won,clearances,headed_clearance,defensive_actions,recoveries,dribbled_past,duels_won,duels_lost,ground_duels_won,aerial_duels_won,was_fouled,fouls_commited,successful_dribbles,penalties_won,big_chances_missed,accurate_crosses
Defender,CB,Kyle Walker,1,True,6.8,0,90,False,0,0,,0,0,1,83,1,0.07,0,0.02,0.09,0,0,70,1,5,0,0,0.07,33,2,0,9,5,1,4,5,44,0,1,3,0,0,0,0
Keeper,GK,Ederson Moraes,0,False,7.4,1,90,True,0,0,,0,0,0,92,0,0,0,0,0,0,0,51,0,0,70,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Keeper,GK,Sam Johnstone,0,False,4.7,1,90,True,0,0,,0,0,0,81,0,0,0,0,0,0,0,31,0,0,44,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Defender,RB,Joel Ward,1,True,6.5,1,90,False,0,0,,0,0,1,86,2,0.06,0,0.04,0.1,0,0,82,2,9,0,1,0.06,0,4,3,5,2,0,7,4,67,63,0,0,100,0,0,33
Defender,CB,Joachim Andersen,1,False,6.4,1,90,False,0,0,,0,0,0,94,0,0,0,0.02,0.02,0,0,134,1,19,81,0,0,100,7,3,11,3,0,2,1,100,50,0,0,0,0,0,0
Defender,CB,Marc Guehi,1,False,7.0,1,90,False,0,0,,0,0,0,90,0,0,0,0.01,0.01,0,0,141,0,14,57,1,0,50,7,4,13,11,0,11,6,60,71,3,3,100,0,0,0
Defender,LB,Tyrick Mitchell,1,False,6.3,1,90,False,0,0,,0,0,0,80,0,0,0,0.08,0.08,0,0,82,0,7,25,1,0,60,3,1,9,5,1,6,2,71,100,0,0,0,0,0,0
Midfielder,DM,Will Hughes,2,False,5.9,2,89,False,0,0,89,0,0,0,82,0,0,0,0.35,0.35,0,0,66,6,0,100,2,0,33,0,0,3,6,1,5,3,63,0,1,0,100,0,0,100
Midfielder,DM,Jefferson Lerma,2,False,8.5,5 + 3,90,False,0,1,,0,0,2,88,4,0.15,0,0.45,0.6,0,1,115,4,14,57,0,0.15,0,2,1,8,13,0,13,3,100,73,4,0,0,0,0,0
Midfielder,RW,Jordan Ayew,4,False,6.8,2,90,False,0,0,,0,0,0,88,0,0,0,0.03,0.03,0,0,65,4,0,100,2,0,0,1,1,2,6,1,7,6,54,0,4,1,50,0,0,0
Midfielder,AM,Eberechi Eze,4,False,8.4,6,90,False,1,0,,1,0,2,84,2,0.85,1.04,0.07,0.92,100,0,63,11,3,100,3,0.06,40,0,0,8,5,2,12,9,60,0,4,3,75,1,0,0
Midfielder,LW,Jeffrey Schlupp,4,False,6.7,2,67,False,0,0,67,0,0,0,83,1,0,0,0.01,0.01,0,0,34,3,1,0,1,0,100,1,1,4,1,0,4,4,50,50,0,1,100,0,0,0
Attacker,ST,Odsonne Edouard,5,False,6.9,6,83,False,1,0,83,0,0,6,88,1,0.96,1.07,0.06,1.02,100,4,36,15,1,100,5,0.96,0,0,0,1,3,0,2,9,13,33,0,1,50,0,0,0
Attacker,ST,Dominic Calvert-Lewin,5,False,5.8,2,77,False,0,0,77,0,0,0,58,1,0,0,0.05,0.05,0,0,20,4,2,0,2,0,0,0,0,2,1,1,4,16,0,27,0,2,0,0,0,0
Midfielder,AM,Abdoulaye Doucouré,4,False,7.7,9 + 2,90,False,1,0,,1,0,1,79,0,0.72,0.14,0.02,0.74,100,0,37,3,1,50,0,0.72,100,2,0,6,4,1,1,10,17,0,0,3,0,0,0,0
Midfielder,LM,Dwight McNeil,3,False,6.7,2,90,False,0,0,,0,0,1,86,0,0.03,0.03,0.08,0.11,100,0,49,2,6,40,1,0.03,33,1,1,5,3,2,3,7,38,0,0,0,0,0,0,29
Midfielder,CM,Amadou Onana,3,False,6.4,0,45,False,0,0,46,1,0,0,100,0,0,0,0.01,0.01,0,0,23,0,2,100,1,0,0,0,0,0,3,1,1,2,33,0,1,0,0,0,0,0
Midfielder,CM,James Garner,3,False,7.6,1,90,False,0,0,,1,0,1,82,0,0.05,0,0.01,0.06,0,0,52,0,6,0,0,0.05,33,3,0,10,6,2,7,5,58,0,2,3,100,0,0,0
Midfielder,RM,Jack Harrison,3,False,7.1,5,90,False,0,1,,0,0,0,63,2,0,0,0.39,0.39,0,0,39,3,1,0,6,0,100,2,0,6,3,0,3,10,23,0,1,2,33,0,0,67
Defender,LB,Vitalii Mykolenko,1,False,8.6,9,90,False,1,0,,1,0,3,72,0,0.54,0.73,0.06,0.6,50,1,60,2,4,25,0,0.54,67,5,3,13,5,1,5,4,50,100,0,3,100,0,0,0
Defender,CB,Jarrad Branthwaite,1,False,7.1,1,90,False,0,0,,0,0,0,75,0,0,0,0,0,0,0,45,0,8,25,0,0,0,8,4,13,7,1,5,3,50,75,1,1,0,0,0,0
Defender,CB,James Tarkowski,1,True,7.4,1,90,False,0,0,,0,0,0,71,0,0,0,0.01,0.01,0,0,55,3,9,57,1,0,60,8,6,18,1,1,10,3,78,75,1,0,100,0,0,0
Defender,RB,Ashley Young,1,False,7.2,1,89,False,0,0,90,0,0,0,67,1,0,0,0.03,0.03,0,0,62,0,14,31,0,0,0,2,1,6,4,0,1,2,100,0,0,0,0,0,0,17
Keeper,GK,Jordan Pickford,0,False,7.0,2,90,True,0,0,,0,0,0,50,0,0,0,0,0,0,0,44,0,0,28,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Keeper,GK,Alisson Becker,0,False,7.4,7,90,True,0,0,,0,0,0,59,0,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Defender,RB,Trent Alexander-Arnold,1,False,7.6,6 + 1,89,False,0,0,90,0,0,0,78,2,0,0,0.27,0.27,0,0,84,0,10,40,0,0,0,1,0,2,5,1,2,1,50,100,0,0,100,0,0,17
Defender,CB,Joel Matip,1,False,7.4,5,90,False,0,0,,1,0,1,83,1,0.03,0,0.01,0.04,0,1,59,4,5,80,0,0.03,50,3,2,9,6,0,7,6,50,57,1,3,0,0,0,0
Defender,CB,Virgil van Dijk,1,True,7.8,6,90,False,0,0,,0,0,1,89,0,0.07,0.05,0.01,0.08,100,0,74,2,6,100,0,0.07,33,4,2,10,3,0,10,2,80,86,1,1,0,0,0,0
Defender,LB,Konstantinos Tsimikas,1,False,8.8,12 + 3,90,False,0,2,,0,0,1,85,3,0.03,0,0.33,0.36,0,0,74,4,4,100,1,0.03,50,1,0,4,7,2,5,6,40,100,1,1,33,0,0,30
Midfielder,CM,Dominik Szoboszlai,3,False,7.4,3,89,False,0,0,90,0,0,2,88,2,0.07,0.09,0.04,0.11,50,0,73,0,3,75,0,0.07,0,1,1,4,9,1,1,7,0,50,0,3,0,0,0,0
Midfielder,CM,Wataru Endo,3,False,6.7,3,90,False,0,0,,0,0,0,86,0,0,0,0.03,0.03,0,0,67,0,10,100,2,0,100,4,4,9,4,2,3,11,11,40,0,4,0,0,0,0
