position,positionStringShort,name,positionRow,isCaptain,rating,fantasyScore,minutesPlayed,isGoalkeeper,goal,assist,subbedOutTime,yellowCard,redCard,total_shots,accurate_passes_rate(%),chances_created,expected_goals(xG),expected_goals_on_target(xGOT),expected_assists(xA),xG+xA,shot_accuracy(%),blocked_shots,touches,touches_in_opposition_box,passes_into_final_third,long_balls_accuracy(%),dispossessed,xG_Non_penalty,tackles_won_rate(%),clearances,headed_clearance,defensive_actions,recoveries,dribbled_past,duels_won,duels_lost,ground_duels_won_rate(%),aerial_duels_won_rate(%),was_fouled,fouls_commited,dribble_success_rate(%),penalties_won,big_chances_missed,crosses_success_rate(%)
Defender,CB,Marcos Senesi,1,FALSE,6.7,1,60,FALSE,0,0,60,0,0,0,84,0,0.09,0,0.02,0.11,0,0,62,0,11,38,1,0.09,50,3,2,8,7,2,3,6,33,33,0,1,0,0,0,0
Defender,LB,Milos Kerkez,1,FALSE,7.2,2,90,FALSE,0,0,,0,0,0,78,1,0,0,0.05,0.05,0,0,75,0,8,67,1,0,50,3,1,5,6,1,10,6,60,67,3,0,33,0,0,25
Midfielder,DM,Joe Rothwell,2,FALSE,8.1,2,90,FALSE,0,0,,0,0,1,88,1,0.03,0,0.04,0.07,0,0,91,0,13,0,1,0.03,33,0,0,4,11,1,6,4,60,0,1,0,50,0,0,0
Midfielder,DM,Philip Billing,2,FALSE,7.6,2,90,FALSE,0,0,,0,0,2,88,1,0.07,0,0.06,0.13,0,1,64,0,4,67,2,0.07,0,2,0,6,6,1,6,5,43,75,1,0,50,0,0,50
Midfielder,RW,David Brooks,4,FALSE,6.4,2,75,FALSE,0,0,75,0,0,4,77,1,0.16,0.23,0.02,0.18,50,0,50,0,5,50,1,0.16,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Midfielder,AM,Ryan Christie,4,FALSE,6.9,2,67,FALSE,0,0,67,0,0,1,85,1,0.02,0.04,0.03,0.05,100,0,43,0,2,100,3,0.02,67,0,0,4,10,0,7,8,54,0,3,1,33,0,0,0
Midfielder,LW,Jaidon Anthony,4,FALSE,6.2,1,60,FALSE,0,0,60,0,0,0,62,0,0,0,0,0,0,0,26,0,1,0,1,0,0,1,0,6,2,2,4,8,38,25,0,2,100,0,0,0
Attacker,ST,Dominic Solanke,5,FALSE,7.2,6 + 1,90,FALSE,1,0,,0,0,3,75,2,0.98,1.13,0.14,1.12,67,0,35,0,0,100,4,0.98,0,0,0,2,2,0,3,13,30,0,1,1,33,0,0,0
Attacker,ST,Michail Antonio,5,FALSE,6.5,1,78,FALSE,0,0,78,1,0,0,54,0,0,0,0.01,0.01,0,0,36,0,2,50,3,0,0,1,0,4,3,1,10,9,50,57,2,1,75,0,0,0
Midfielder,LW,Said Benrahma,4,FALSE,6.8,2,90,FALSE,0,0,,0,0,2,75,2,0.08,0.19,0.27,0.35,50,0,44,0,3,0,0,0.08,0,0,0,2,5,2,3,5,50,0,1,1,50,0,0,0
Midfielder,AM,Pablo Fornals,4,FALSE,6.6,2,86,FALSE,0,0,86,0,0,2,83,1,0.09,0,0.09,0.18,0,0,47,0,7,100,2,0.09,75,0,0,4,3,3,5,8,45,0,0,0,50,0,0,0
Midfielder,RW,Jarrod Bowen,4,FALSE,8.2,6 + 3,90,FALSE,1,0,,1,0,6,68,3,0.22,0.51,0.35,0.57,33,3,47,0,2,0,2,0.22,100,0,0,4,7,0,11,11,50,50,0,2,67,0,0,60
Midfielder,DM,Lucas Paquet?,2,FALSE,8.5,1,89,FALSE,0,0,90,1,0,3,77,2,0.18,0,0.21,0.39,33,0,63,0,8,33,1,0.18,88,1,1,13,14,0,13,6,65,100,3,4,0,0,0,0
Midfielder,DM,Tomas Soucek,2,FALSE,8.3,5 + 2,90,FALSE,0,1,,0,0,2,62,1,0.37,0,0.01,0.38,0,0,45,0,4,0,0,0.37,100,7,2,13,3,1,12,2,75,100,1,1,0,0,1,0
Defender,LB,Emerson,1,FALSE,7.3,1,90,FALSE,0,0,,1,0,0,71,2,0,0,0.25,0.25,0,0,50,0,5,50,0,0,50,1,0,9,3,1,7,3,57,100,0,2,0,0,0,50
Defender,CB,Naif Aguerd,1,FALSE,7,2,90,FALSE,0,0,,0,0,0,76,0,0,0,0,0,0,0,42,0,6,50,0,0,0,5,2,10,5,0,8,3,75,71,1,1,0,0,0,0
Defender,CB,Kurt Zouma,1,TRUE,6.9,2,90,FALSE,0,0,,0,0,0,76,0,0,0,0,0,0,0,37,0,4,50,0,0,0,10,3,12,2,0,2,1,0,100,0,1,0,0,0,0
Defender,RB,Vladimir Coufal,1,FALSE,7.5,2,90,FALSE,0,0,,0,0,0,57,2,0,0,0.16,0.16,0,0,67,0,6,14,0,0,0,2,2,7,7,0,4,1,75,100,1,0,0,0,0,50
Keeper,GK,Alphonse Areola,0,FALSE,7,3,90,TRUE,0,0,,0,0,0,29,0,0,0,0,0,0,0,31,0,0,25,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Keeper,GK,Jason Steele,0,FALSE,6.3,2,90,TRUE,0,0,,0,0,0,100,0,0,0,0,0,0,0,41,0,0,100,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Defender,RB,James Milner,1,FALSE,7,3,79,FALSE,0,0,79,0,0,0,94,0,0,0,0.02,0.02,0,0,53,0,3,67,0,0,100,0,0,2,4,0,4,5,100,17,1,0,0,0,0,0
Defender,CB,Jan Paul van Hecke,1,FALSE,7.5,2,90,FALSE,0,0,,0,0,1,97,0,0.02,0.22,0,0.02,100,0,87,1,1,50,0,0.02,100,6,5,10,3,0,6,6,100,45,0,0,0,0,0,0
Defender,CB,Lewis Dunk,1,TRUE,7,2,90,FALSE,0,0,,0,0,2,93,0,0.12,0,0.59,0.71,0,0,127,4,15,17,0,0.12,100,1,1,3,6,1,1,2,50,0,0,1,0,0,0,0
Defender,LB,Pervis Estupin?n,1,FALSE,8.8,4 + 3,90,FALSE,0,1,,1,0,3,85,6,0.1,0.16,0.86,0.96,100,1,101,5,13,0,0,0.1,100,0,0,3,6,0,4,4,50,50,0,2,100,0,0,43
Midfielder,DM,Pascal Gross,2,FALSE,8.6,2,90,FALSE,0,0,,0,0,3,90,6,0.5,0.6,0.46,0.96,33,0,97,8,7,67,1,0.5,50,1,1,6,3,0,6,1,80,100,1,0,100,0,1,17
Midfielder,DM,Mahmoud Dahoud,2,FALSE,7.4,3,74,FALSE,0,0,74,0,0,2,89,2,0.04,0,0.1,0.14,0,1,54,1,11,75,0,0.04,50,0,0,5,9,0,2,3,40,0,0,3,0,0,0,100
Midfielder,RW,Solly March,4,FALSE,8,8 + 1,74,FALSE,1,0,74,0,0,3,74,2,0.4,0.89,0.02,0.42,100,1,51,2,2,50,4,0.4,100,1,0,3,4,0,5,8,36,50,1,1,50,0,0,0
Midfielder,AM,Joao Pedro,4,FALSE,8.4,6 + 1,88,FALSE,1,0,88,0,0,4,79,1,1.35,1.19,0.03,1.38,67,1,54,10,4,67,2,0.56,100,1,0,4,5,0,7,7,54,0,5,1,0,1,1,0
Midfielder,LW,Kaoru Mitoma,4,FALSE,8.5,4 + 1,90,FALSE,0,1,,1,0,1,95,5,0.02,0,0.62,0.64,0,0,58,10,4,0,0,0.02,0,0,0,2,4,0,6,1,83,100,3,1,50,0,0,25
Attacker,ST,Danny Welbeck,5,FALSE,7.2,2,78,FALSE,0,0,78,0,0,4,86,0,0.32,0.12,0.14,0.46,33,1,29,6,1,0,1,0.32,0,2,2,2,1,0,2,4,67,0,1,0,100,0,0,0
